X,Y,Z
700750.620689,9312106.185110,0.000000,1141
700804.982104,9312148.751767,0.000000,1141
700785.720610,9312132.059551,0.000000,1141
700753.251389,9312120.467104,0.000000,1141
700768.271809,9312165.601817,0.000000,1141
700757.762887,9312168.085367,0.000000,1141
700749.971189,9312125.794575,0.000000,1141
700745.833722,9312101.930577,0.000000,1141
700731.441118,9312089.298167,0.000000,1141
700746.604199,9312101.493315,0.000000,1141
700726.348564,9312109.727410,0.000000,1141
700731.796289,9312113.192410,0.000000,1141
700730.059889,9312114.355285,0.000000,1141
700745.862697,9312111.894102,0.000000,1141
700727.263827,9312102.807910,0.000000,1141
700786.987405,9312127.078869,0.000000,1141
700816.142774,9312153.579025,0.000000,0
700807.690722,9312152.047910,0.000000,1141
700748.852139,9312115.564213,0.000000,1141
700753.417989,9312110.856010,0.000000,1141
700757.713381,9312167.938786,0.000000,1141
700752.024529,9312129.604937,0.000000,1141
700712.851306,9312149.279743,0.000000,0
700746.797934,9312085.239828,0.000000,1141
700759.777014,9312235.595910,0.000000,1141
700907.002922,9312135.489462,0.000000,1142
700907.835625,9312135.739219,0.000000,1142
700753.263889,9312206.333160,0.000000,1141
700755.109389,9312209.416410,0.000000,1141
700759.441103,9312225.222839,0.000000,1141
700810.578222,9312125.262410,0.000000,1141
700747.855556,9312205.864077,0.000000,1141
700734.061889,9312099.516243,0.000000,1141
700740.326389,9312189.454893,0.000000,1141
700867.555639,9312118.989160,0.000000,1143
700893.304062,9312137.310473,0.000000,1142
700899.033378,9312129.701377,0.000000,1142
700914.627860,9312141.563245,0.000000,1142
700750.216931,9312239.023243,0.000000,1141
700767.911222,9312214.760410,0.000000,1141
700741.962134,9312098.782674,0.000000,1141
700757.230669,9312208.687452,0.000000,1141
700905.479038,9312121.645032,0.000000,1142
700873.480389,9312110.716743,0.000000,1143
700867.859389,9312173.038799,0.000000,1144
700869.330056,9312185.858632,0.000000,1144
700858.162889,9312194.312410,0.000000,1144
700706.296389,9312070.847792,0.000000,1141
700869.201389,9312180.050077,0.000000,1144
700852.966289,9312172.172410,0.000000,1144
700838.011489,9312220.519310,0.000000,1145
700844.398675,9312232.031553,0.000000,1145
700744.399701,9312213.401098,0.000000,1141
700857.274556,9312208.991910,0.000000,1145
700821.224975,9312154.765578,0.000000,0
700717.618039,9312060.356372,0.000000,1141
700913.304301,9312127.500522,0.000000,1142
700908.601083,9312149.451700,0.000000,1142
700853.154014,9312215.677660,0.000000,1145
700750.139556,9312097.334077,0.000000,1141
700800.266660,9312145.574964,0.000000,1141
700765.103103,9312139.301091,0.000000,1141
700756.659571,9312098.159410,0.000000,1141
700881.711025,9312200.026137,0.000000,1146
700857.642667,9312185.991466,0.000000,1144
700901.228043,9312143.778682,0.000000,1142
700731.204154,9312192.942586,0.000000,1141
700751.934428,9312237.879822,0.000000,1141
700760.871722,9312093.234077,0.000000,1141
700859.946389,9312205.340410,0.000000,1144
700862.565389,9312213.357410,0.000000,1145
700755.183056,9312217.600243,0.000000,1141
700859.197389,9312212.842077,0.000000,1145
700884.974389,9312228.161785,0.000000,1151
700750.901556,9312239.314743,0.000000,1141
700762.262589,9312233.470410,0.000000,1141
700743.199389,9312232.793743,0.000000,1141
700920.873422,9312133.450161,0.000000,1142
700850.578833,9312191.793188,0.000000,1144
700749.891847,9312239.034160,0.000000,1141
700742.320722,9312105.243743,0.000000,1141
700764.446934,9312216.935683,0.000000,1141
700800.844889,9312146.592743,0.000000,1141
700752.883189,9312230.931610,0.000000,1141
700826.506914,9312139.024598,0.000000,0
700779.130056,9312204.491743,0.000000,1141
700892.054056,9312314.608493,0.000000,1153
700873.629818,9312280.082981,0.000000,1150
700861.701389,9312341.868077,0.000000,1154
700829.298389,9312296.353077,0.000000,1120
700864.996338,9312274.179538,0.000000,1150
700899.518889,9312271.739285,0.000000,1152
700822.087389,9312286.811077,0.000000,1149
700872.645889,9312282.739285,0.000000,1150
700820.332675,9312277.618696,0.000000,1149
700818.352222,9312249.848410,0.000000,1147
700865.501021,9312335.182515,0.000000,1154
700859.750889,9312350.562577,0.000000,1154
700875.104722,9312221.651243,0.000000,1151
700813.805333,9312258.882632,0.000000,1147
700834.744833,9312262.388410,0.000000,1148
700863.028556,9312275.985243,0.000000,1150
700870.084246,9312348.390267,0.000000,1154
700880.102611,9312330.413410,0.000000,1154
700828.914639,9312277.682785,0.000000,1149
700878.971056,9312267.782910,0.000000,1150
700908.555298,9312290.768046,0.000000,1126
700841.911889,9312252.834285,0.000000,1146
700896.431722,9312313.915077,0.000000,1153
700882.820103,9312304.521839,0.000000,1124
700877.185389,9312254.017267,0.000000,1152
700812.260246,9312250.528553,0.000000,1147
700870.650889,9312331.183410,0.000000,1154
700858.839181,9312273.879535,0.000000,1150
700887.949818,9312322.517981,0.000000,1123
700912.602278,9312283.685299,0.000000,1152
700817.475675,9312245.854124,0.000000,1147
700816.228056,9312272.918743,0.000000,1149
700887.223789,9312294.641010,0.000000,1122
700856.154056,9312250.156410,0.000000,1146
700897.566722,9312285.136077,0.000000,1127
700879.136235,9312240.591102,0.000000,1128
700882.526056,9312227.282795,0.000000,1151
700831.405389,9312277.548743,0.000000,1148
700819.955389,9312243.082743,0.000000,1147
700811.626514,9312279.290910,0.000000,1149
700751.493889,9312316.590577,0.000000,1121
700882.238389,9312315.700124,0.000000,1125
700863.344764,9312224.564972,0.000000,1146
700913.732347,9312012.747877,0.000000,1693
700991.360222,9311908.430460,0.000000,1722
700887.544409,9312004.952714,0.000000,1694
700920.410056,9311937.201077,0.000000,1716
700908.655409,9312018.785325,0.000000,1693
700986.458568,9311915.677334,0.000000,1722
700933.654889,9311862.511910,0.000000,1710
700900.438722,9312007.400743,0.000000,1694
700904.416427,9312024.782756,0.000000,1693
700942.000089,9311961.151325,0.000000,1713
700941.827722,9311899.797193,0.000000,1707
700904.570222,9311932.668460,0.000000,1711
700912.228889,9311905.360260,0.000000,1717
700939.524389,9311854.592839,0.000000,1709
700914.979222,9311936.338543,0.000000,1715
700909.067051,9312017.312431,0.000000,1693
700956.457556,9311978.950878,0.000000,1712
700983.843480,9311914.530729,0.000000,1722
700932.047222,9311877.537993,0.000000,1708
700900.290889,9312030.264377,0.000000,1693
700928.049689,9311946.833260,0.000000,1714
700984.902556,9311918.295843,0.000000,1722
700926.968629,9312110.139397,0.000000,1339
700925.953014,9312093.408410,0.000000,1339
700954.066722,9312155.100077,0.000000,1338
700938.185844,9312098.078319,0.000000,1339
700942.262556,9312145.951243,0.000000,1338
700931.641722,9312146.309952,0.000000,1338
700955.144318,9312165.291553,0.000000,1338
700927.435660,9312109.937097,0.000000,1339
700911.968278,9312112.364854,0.000000,1339
700916.781339,9312122.197110,0.000000,1339
700946.981278,9312106.679854,0.000000,1339
700945.028889,9312166.989077,0.000000,1338
700944.710041,9312156.165178,0.000000,1338
700943.082879,9312156.421545,0.000000,1338
700957.065103,9312155.544981,0.000000,1338
700942.683389,9312143.064481,0.000000,1338
700944.576675,9312169.797410,0.000000,1338
700941.566968,9312120.233778,0.000000,1339
700914.740126,9312099.449357,0.000000,1339
700929.507407,9312109.424972,0.000000,1339
700944.587264,9312107.691910,0.000000,1339
700933.120056,9312157.872577,0.000000,1338
700929.790032,9312157.910267,0.000000,1338
700928.176771,9312109.796888,0.000000,1339
700954.102309,9312144.513610,0.000000,1338
700943.600271,9312156.575657,0.000000,1338
700930.349889,9312126.237035,0.000000,1339
701007.762246,9312185.884410,0.000000,1361
700965.695264,9312175.071785,0.000000,1361
701017.696014,9312230.395410,0.000000,1359
701019.234532,9312205.373839,0.000000,1358
700899.769989,9312239.430710,0.000000,1336
700961.716025,9312152.833410,0.000000,1338
700986.969056,9312178.873632,0.000000,1361
700915.321032,9312254.831481,0.000000,1336
700928.559889,9312235.316577,0.000000,1335
700964.515889,9312179.751624,0.000000,1361
700968.480945,9312176.218077,0.000000,1361
701034.193889,9312142.905410,0.000000,1362
701042.878889,9312148.688410,0.000000,1362
700942.380139,9312243.107910,0.000000,1335
700903.487389,9312218.488981,0.000000,1335
