X,Y,Z
699999.392056,9312532.022743,0.000000,0
700132.804722,9312441.690077,0.000000,1
700141.109389,9312479.402410,0.000000,1
700132.478532,9312458.533753,0.000000,1
700109.616389,9312435.793410,0.000000,2
699860.308056,9312850.271577,0.000000,80
699861.241389,9312803.129577,0.000000,80
699945.660889,9312695.595743,0.000000,80
699996.965722,9312795.080910,0.000000,80
699853.843889,9312669.366077,0.000000,80
699984.662389,9312793.910410,0.000000,80
699902.595589,9312838.401610,0.000000,80
699941.032389,9312858.547410,0.000000,80
699902.928639,9312796.527660,0.000000,80
700096.695789,9312728.572710,0.000000,80
699955.446146,9312768.367545,0.000000,80
700035.003889,9312650.987077,0.000000,80
699858.704139,9312648.409910,0.000000,80
699850.236389,9312640.352410,0.000000,80
699855.912389,9312648.441243,0.000000,80
700062.384757,9312708.218199,0.000000,80
700035.430389,9312657.144410,0.000000,80
700054.796278,9312705.216521,0.000000,80
700070.337119,9312682.577113,0.000000,80
700096.043389,9312697.426410,0.000000,80
700071.904775,9312684.901592,0.000000,80
699991.566603,9312814.849446,0.000000,80
699987.702568,9312646.146267,0.000000,80
700079.125556,9312651.013910,0.000000,80
699878.100089,9312696.274410,0.000000,80
699900.613389,9312733.274410,0.000000,80
699885.429722,9312696.192577,0.000000,80
699984.234980,9312707.357978,0.000000,80
699966.257222,9312643.998243,0.000000,80
699856.314989,9312829.295610,0.000000,80
700018.594798,9312645.230410,0.000000,80
699978.048945,9312855.237299,0.000000,80
699854.662722,9312738.582910,0.000000,80
699855.773389,9312782.893810,0.000000,80
699971.963100,9312784.358515,0.000000,80
699989.660056,9312651.487910,0.000000,80
700035.746789,9312698.507510,0.000000,80
699992.758857,9312710.067797,0.000000,80
700052.122556,9312751.494243,0.000000,80
700011.368389,9312643.492077,0.000000,80
700071.336905,9312694.614765,0.000000,80
699971.070222,9312638.446577,0.000000,80
700089.109722,9312684.831743,0.000000,80
699865.634489,9312637.102710,0.000000,80
699857.167389,9312657.436577,0.000000,80
699988.624889,9312824.175660,0.000000,80
700023.290443,9312769.203801,0.000000,80
700035.671514,9312633.233660,0.000000,0
699965.855378,9312641.399338,0.000000,80
700038.301222,9312637.700743,0.000000,80
699854.252722,9312699.327577,0.000000,80
699946.056389,9312803.431339,0.000000,80
699855.037389,9312812.486077,0.000000,80
699855.736639,9312753.074660,0.000000,80
699868.593389,9312744.245410,0.000000,80
699860.000960,9312749.315981,0.000000,80
699901.316556,9312754.558577,0.000000,80
699857.077222,9312811.871910,0.000000,80
699932.611095,9312755.865998,0.000000,80
699967.847810,9312644.995726,0.000000,80
699896.182722,9312639.319243,0.000000,80
699935.280089,9312637.799510,0.000000,80
700049.806056,9312650.712743,0.000000,80
699933.606639,9312640.365910,0.000000,80
699928.120389,9312648.965410,0.000000,80
699933.669514,9312643.740785,0.000000,80
700008.615222,9312637.957077,0.000000,80
699929.150966,9312749.008141,0.000000,80
699991.742278,9312788.551188,0.000000,80
700030.021093,9312762.157466,0.000000,80
699900.669556,9312695.998910,0.000000,80
700047.064056,9312751.989743,0.000000,80
700091.680532,9312698.834696,0.000000,80
700012.901233,9312783.230535,0.000000,80
699861.910889,9312854.956243,0.000000,80
699998.768764,9312793.972785,0.000000,80
699929.158833,9312695.118521,0.000000,80
700047.374844,9312751.122410,0.000000,80
699417.717389,9313055.491267,0.000000,64
699639.875521,9312959.759672,0.000000,88
699439.597389,9313089.901743,0.000000,68
699685.342789,9312965.319210,0.000000,88
699759.223222,9313070.008410,0.000000,83
699402.113389,9312895.979410,0.000000,74
699422.277389,9313071.058410,0.000000,0
699402.311241,9312914.531238,0.000000,74
699646.969509,9312978.258810,0.000000,88
699485.090389,9312827.539710,0.000000,28
699714.979767,9312985.880361,0.000000,88
699409.320722,9312881.575243,0.000000,76
699648.719485,9312982.500333,0.000000,88
699698.659639,9312977.219660,0.000000,88
699744.954389,9312987.906410,0.000000,88
699434.121463,9313039.419429,0.000000,64
699758.806389,9312993.171743,0.000000,88
699743.497056,9312991.250077,0.000000,88
699417.595722,9313062.238410,0.000000,0
699402.363433,9312914.504537,0.000000,74
699402.374889,9312914.509410,0.000000,74
699403.238589,9312909.792850,0.000000,74
699403.559122,9312913.098700,0.000000,74
699416.941934,9313067.472955,0.000000,0
699452.949056,9312991.281743,0.000000,63
699604.927389,9312957.142910,0.000000,88
699669.123945,9312974.380632,0.000000,88
699760.820889,9313005.741743,0.000000,88
699767.933222,9312997.661743,0.000000,88
699740.521639,9312984.520910,0.000000,88
699768.756258,9313059.701438,0.000000,83
699665.625597,9312973.267396,0.000000,88
699689.395899,9312968.470890,0.000000,88
699406.714389,9312928.204610,0.000000,74
699698.674722,9312968.233521,0.000000,88
699410.546139,9312901.326410,0.000000,74
699392.749494,9312876.850673,0.000000,77
699602.200352,9312955.063262,0.000000,88
699589.335867,9312840.950236,0.000000,34
699643.309722,9312795.386577,0.000000,35
699656.288210,9312979.101463,0.000000,88
699637.647143,9312975.576831,0.000000,88
699713.663636,9312991.168150,0.000000,88
699702.789764,9312973.434222,0.000000,88
699770.532109,9313068.105610,0.000000,0
699452.469056,9312993.170077,0.000000,63
699405.612945,9313052.939521,0.000000,65
699762.267389,9312986.151267,0.000000,88
699729.303990,9312988.047304,0.000000,88
699758.716722,9313070.688410,0.000000,83
699457.455722,9313103.436743,0.000000,71
699688.316583,9312973.345910,0.000000,88
699451.463389,9312995.618410,0.000000,63
699401.504056,9312914.261810,0.000000,74
699702.114976,9312976.536029,0.000000,88
699638.074755,9312982.269021,0.000000,88
699680.469389,9312973.388410,0.000000,88
699714.915768,9312985.906137,0.000000,88
699425.731675,9313046.174124,0.000000,64
699420.317389,9313064.998410,0.000000,0
699422.609889,9313050.432577,0.000000,64
699646.879935,9312978.288155,0.000000,88
699671.392589,9312966.210722,0.000000,88
699772.663246,9312997.065553,0.000000,88
699407.472945,9313058.513966,0.000000,0
699413.597389,9312908.260839,0.000000,74
699685.449222,9312964.792993,0.000000,88
699765.261966,9313068.512256,0.000000,83
699859.894556,9312920.723577,0.000000,38
699857.010056,9312920.844743,0.000000,38
699898.290289,9312868.361110,0.000000,80
699726.043639,9312848.059743,0.000000,37
699876.375722,9312867.382910,0.000000,80
699857.801889,9312907.240577,0.000000,38
699870.202589,9312863.192610,0.000000,80
700047.066931,9312751.539202,0.000000,80
700143.985556,9312316.759243,0.000000,3
700121.392556,9312352.267910,0.000000,3
700127.743949,9312328.000370,0.000000,3
700140.766889,9312314.290243,0.000000,3
700129.130889,9312301.944535,0.000000,3
700128.477818,9312355.819696,0.000000,3
700131.198556,9312303.951910,0.000000,3
700125.067167,9312356.098077,0.000000,3
700166.928056,9312338.787410,0.000000,3
700163.665589,9312342.478110,0.000000,3
700134.257222,9312307.859410,0.000000,3
700139.042753,9312306.991046,0.000000,3
700143.932972,9312336.399743,0.000000,3
700141.885197,9312378.309444,0.000000,3
700139.015556,9312368.417410,0.000000,3
700142.304764,9312338.496410,0.000000,3
700120.538851,9312294.194179,0.000000,3
700126.768014,9312299.661660,0.000000,3
700137.822889,9312310.362910,0.000000,3
700141.271489,9312314.389310,0.000000,3
700151.880389,9312331.350160,0.000000,3
700152.986926,9312316.109817,0.000000,3
700170.923722,9312335.261243,0.000000,3
700140.653222,9312332.472910,0.000000,3
700158.226889,9312348.575243,0.000000,3
700151.854056,9312355.185910,0.000000,3
700145.437222,9312361.770577,0.000000,3
700127.219389,9312300.643410,0.000000,3
700138.076489,9312368.968710,0.000000,3
700134.303389,9312307.338510,0.000000,3
700131.785861,9312341.750132,0.000000,3
700150.239923,9312317.385220,0.000000,3
700139.397675,9312321.378267,0.000000,3
700121.046207,9312323.352728,0.000000,3
700129.506056,9312313.566910,0.000000,3
700137.459789,9312278.566010,0.000000,3
700130.992556,9312342.306077,0.000000,3
700133.820556,9312275.317910,0.000000,3
700139.923556,9312281.171077,0.000000,3
700143.588722,9312284.056577,0.000000,3
700160.571389,9312345.375077,0.000000,3
700160.212856,9312317.110543,0.000000,3
700157.256989,9312349.120610,0.000000,3
700129.126689,9312295.679810,0.000000,3
700137.392722,9312335.668243,0.000000,3
700134.213556,9312339.064743,0.000000,3
700154.168389,9312352.010410,0.000000,3
700150.871089,9312355.739710,0.000000,3
700147.773722,9312358.638243,0.000000,3
700164.667556,9312341.893577,0.000000,3
700144.482089,9312362.336710,0.000000,3
700141.881889,9312364.744243,0.000000,3
700145.410934,9312350.826683,0.000000,3
700135.390103,9312371.342696,0.000000,3
700127.787556,9312345.658410,0.000000,3
700154.266389,9312343.996160,0.000000,3
700124.576722,9312348.946577,0.000000,3
700170.419189,9312335.545510,0.000000,3
700128.098389,9312301.779910,0.000000,3
700173.170889,9312332.318077,0.000000,3
700145.471603,9312324.896767,0.000000,3
700135.748639,9312361.649285,0.000000,3
700136.888889,9312277.655743,0.000000,3
700124.468675,9312297.318981,0.000000,3
700039.174389,9312534.846410,0.000000,0
699961.835014,9312559.559868,0.000000,0
699962.248246,9312535.680410,0.000000,0
700001.430246,9312571.955553,0.000000,0
699963.710722,9312584.022243,0.000000,0
700132.773389,9312391.149910,0.000000,3
700125.003389,9312405.002410,0.000000,3
700132.840222,9312395.728577,0.000000,3
699556.765722,9312709.264410,0.000000,39
700119.480889,9312388.518243,0.000000,3
700051.094264,9312561.402410,0.000000,0
700114.127889,9312387.752910,0.000000,3
700114.986889,9312405.060077,0.000000,3
700145.318556,9312387.231410,0.000000,3
700147.351056,9312369.756243,0.000000,3
699947.555500,9312763.998077,0.000000,80
700011.474103,9312571.366839,0.000000,0
699951.846889,9312535.951577,0.000000,0
699557.202389,9312735.976743,0.000000,39
700008.647222,9312557.359243,0.000000,0
699641.577489,9312718.094285,0.000000,40
700143.442056,9312441.637910,0.000000,1
700109.005056,9312394.883743,0.000000,3
700124.753466,9312360.977487,0.000000,3
700166.237722,9312350.388077,0.000000,3
700116.870722,9312409.628243,0.000000,3
700153.467889,9312437.252743,0.000000,11
699640.838056,9312707.593410,0.000000,40
700148.515056,9312434.115577,0.000000,11
700127.142972,9312359.465160,0.000000,3
700143.470452,9312347.103113,0.000000,3
700145.948889,9312420.781910,0.000000,3
700143.097420,9312347.038543,0.000000,3
700148.597056,9312440.075743,0.000000,11
699954.197583,9312539.418716,0.000000,0
699640.946222,9312734.030410,0.000000,40
700007.046889,9312575.933966,0.000000,0
700043.286222,9312531.698910,0.000000,0
699952.361025,9312561.271683,0.000000,0
