X,Y,Z
700487.126913,9312918.430077,0.000000,690
699999.392056,9312532.022743,0.000000,0
700134.129466,9312457.582487,0.000000,1
700109.616389,9312435.793410,0.000000,2
700109.443139,9312379.434785,0.000000,3
700196.115389,9312426.403910,0.000000,4
700219.278556,9312446.214243,0.000000,5
700193.438675,9312318.578553,0.000000,6
700181.487389,9312312.063839,0.000000,85
700275.718639,9312187.357410,0.000000,7
700247.418689,9312178.095010,0.000000,8
700178.079556,9312241.395743,0.000000,9
700184.041222,9312230.897243,0.000000,10
700153.413556,9312433.310910,0.000000,11
700028.444556,9312287.085910,0.000000,12
699778.687639,9312372.830035,0.000000,13
699750.621222,9312549.418743,0.000000,14
699692.839889,9312488.150910,0.000000,15
699693.554889,9312429.804910,0.000000,16
699851.772056,9312338.340410,0.000000,17
699699.045139,9312547.764660,0.000000,18
700247.146389,9312512.645577,0.000000,19
700227.505222,9312554.719577,0.000000,20
700142.723472,9312587.042243,0.000000,21
700131.847889,9312522.656243,0.000000,22
700192.138167,9312524.871966,0.000000,23
699385.298460,9312268.195589,0.000000,79
699489.980759,9312282.321660,0.000000,79
699441.421809,9312295.250425,0.000000,79
699637.202556,9312154.274077,0.000000,24
699630.470056,9312149.977910,0.000000,25
699623.582222,9312145.595743,0.000000,26
699603.392056,9312156.344910,0.000000,27
699488.895722,9312821.526243,0.000000,28
699515.500722,9312827.553577,0.000000,29
699522.419056,9312824.877243,0.000000,30
699531.612389,9312827.900910,0.000000,31
699547.770306,9312836.929618,0.000000,32
699600.800722,9312841.559910,0.000000,33
699598.214056,9312824.368910,0.000000,84
699601.344056,9312818.588910,0.000000,84
699602.726480,9312793.990728,0.000000,84
699597.642389,9312807.910410,0.000000,84
699647.165722,9312795.354410,0.000000,35
699644.624472,9312782.663243,0.000000,36
699732.206222,9312851.401743,0.000000,37
699855.319489,9312893.148010,0.000000,38
699958.535556,9312868.715743,0.000000,12030
699958.476222,9312878.560077,0.000000,12030
699959.351722,9312874.247077,0.000000,12030
699557.155722,9312719.438743,0.000000,39
699641.511597,9312717.926493,0.000000,40
700130.397889,9312600.325243,0.000000,41
699787.672556,9312114.336327,0.000000,43
699737.265222,9312091.390410,0.000000,44
699964.013110,9312776.843763,0.000000,12030
699990.715239,9312749.337700,0.000000,12030
699949.639945,9312765.557299,0.000000,12030
699986.547246,9312795.139553,0.000000,12030
699532.932389,9312964.122160,0.000000,12030
699756.579556,9313084.205077,0.000000,46
699762.193556,9313079.988410,0.000000,47
699767.742222,9313076.221743,0.000000,48
699765.003335,9313058.310572,0.000000,83
699682.381935,9313084.649395,0.000000,49
699603.799889,9313009.228410,0.000000,50
699601.357389,9313015.728410,0.000000,12030
699604.329056,9313010.988410,0.000000,50
699616.847389,9313026.393410,0.000000,51
699614.187389,9313028.438410,0.000000,12030
699616.417389,9313027.291743,0.000000,51
699669.966139,9313025.075910,0.000000,52
699669.954389,9313030.128410,0.000000,12030
699670.630889,9313026.385077,0.000000,52
699648.501889,9313020.238410,0.000000,53
699650.915389,9313024.728410,0.000000,53
699649.733389,9313020.798410,0.000000,53
699640.937139,9313016.070910,0.000000,54
699639.778389,9313012.778410,0.000000,54
699640.191889,9313015.708410,0.000000,54
699656.473639,9313023.315910,0.000000,55
699653.237389,9313024.598410,0.000000,12030
699656.132222,9313024.076743,0.000000,55
699674.794556,9313047.791743,0.000000,56
699669.154389,9313053.958410,0.000000,12030
699673.809139,9313049.650910,0.000000,56
699668.991889,9313061.283410,0.000000,57
699669.154389,9313066.948410,0.000000,12030
699669.759222,9313061.641743,0.000000,57
699755.502815,9313021.885763,0.000000,58
699757.567389,9313019.638410,0.000000,12030
699755.585133,9313021.745850,0.000000,58
699792.976889,9312985.378410,0.000000,59
699453.899742,9312977.741939,0.000000,62
699448.917389,9312983.418410,0.000000,12030
699453.661025,9312979.281137,0.000000,62
699446.925722,9313009.750077,0.000000,63
699420.590722,9313051.683966,0.000000,12030
699408.605389,9313053.409410,0.000000,65
699413.269056,9313068.716743,0.000000,66
699432.119389,9313077.536410,0.000000,67
699443.189889,9313090.930910,0.000000,68
699439.407389,9313091.578410,0.000000,12030
699442.834056,9313091.891743,0.000000,68
699448.747389,9313095.937299,0.000000,69
699444.827389,9313096.138410,0.000000,12030
699448.952389,9313096.961743,0.000000,69
699452.095722,9313100.385077,0.000000,70
699455.956389,9313102.168410,0.000000,71
699400.414056,9312945.489243,0.000000,73
699387.987389,9312959.576410,0.000000,12030
699397.309056,9312950.183077,0.000000,73
699414.520722,9312902.060243,0.000000,74
699409.364662,9312939.749046,0.000000,75
699408.242389,9312887.327035,0.000000,76
699393.854056,9312878.852577,0.000000,77
699981.662489,9313051.618410,0.000000,78
699802.255139,9312160.717910,0.000000,12030
699762.142589,9312159.630010,0.000000,12030
699833.044675,9312174.197696,0.000000,44
699788.746889,9312192.381077,0.000000,44
699812.253556,9312183.034577,0.000000,44
699780.713056,9312040.472460,0.000000,44
699795.322556,9312189.219410,0.000000,44
699739.045389,9312168.737785,0.000000,44
699736.935827,9312036.754866,0.000000,44
699769.308116,9312037.085737,0.000000,12030
699805.961722,9312016.161060,0.000000,44
699786.801056,9312013.236277,0.000000,44
699791.135722,9312033.392443,0.000000,44
699775.613589,9312099.891541,0.000000,43
699381.908639,9312292.279535,0.000000,79
699386.094056,9312317.780410,0.000000,79
699798.008514,9312550.944785,0.000000,14
699750.521889,9312554.520510,0.000000,14
699757.280103,9312549.215124,0.000000,14
699801.570689,9312545.788610,0.000000,14
699765.513014,9312547.596535,0.000000,14
699764.677722,9312552.519243,0.000000,14
699761.455056,9312552.562077,0.000000,14
699827.588764,9312550.084035,0.000000,14
699832.238222,9312544.502743,0.000000,14
699821.755056,9312551.571077,0.000000,14
699825.410889,9312545.638077,0.000000,14
699773.598889,9312543.364243,0.000000,14
699791.236489,9312406.514010,0.000000,13
699791.589889,9312447.500577,0.000000,13
699791.639889,9312453.627410,0.000000,13
699791.729889,9312464.631243,0.000000,13
699791.854889,9312479.879577,0.000000,13
699791.916389,9312487.403410,0.000000,13
699791.957056,9312492.372077,0.000000,13
699792.030389,9312501.322910,0.000000,13
699792.082889,9312507.754077,0.000000,13
699792.175722,9312519.117577,0.000000,13
699780.047514,9312529.492285,0.000000,13
699845.378889,9312338.435577,0.000000,17
699608.641675,9312958.772553,0.000000,12030
699561.234532,9312958.604981,0.000000,12030
699549.412945,9312945.224299,0.000000,12030
699612.206556,9312986.126743,0.000000,12030
699518.023639,9312970.045910,0.000000,12030
699550.509011,9312982.593261,0.000000,12030
699522.817389,9312971.978410,0.000000,12030
699483.376743,9312942.399208,0.000000,88
699609.097389,9312965.846285,0.000000,12030
699604.927389,9312957.142910,0.000000,12030
699602.200352,9312955.063262,0.000000,12030
699646.879935,9312978.288155,0.000000,12030
699646.969509,9312978.258810,0.000000,12030
699648.719485,9312982.500333,0.000000,12030
699702.114976,9312976.536029,0.000000,12030
699638.074755,9312982.269021,0.000000,12030
699637.647143,9312975.576831,0.000000,12030
699685.342789,9312965.319210,0.000000,12030
699665.625597,9312973.267396,0.000000,12030
699689.395899,9312968.470890,0.000000,12030
699680.469389,9312973.388410,0.000000,12030
699714.915768,9312985.906137,0.000000,88
699714.979767,9312985.880361,0.000000,88
699656.288210,9312979.101463,0.000000,12030
699698.659639,9312977.219660,0.000000,12030
699688.316583,9312973.345910,0.000000,12030
699669.123945,9312974.380632,0.000000,12030
699639.875521,9312959.759672,0.000000,12030
699713.663636,9312991.168150,0.000000,88
699760.820889,9313005.741743,0.000000,88
699685.449222,9312964.792993,0.000000,12030
699671.392589,9312966.210722,0.000000,12030
699702.789764,9312973.434222,0.000000,12030
699698.674722,9312968.233521,0.000000,12030
699767.933222,9312997.661743,0.000000,88
699758.806389,9312993.171743,0.000000,88
699772.663246,9312997.065553,0.000000,88
699762.267389,9312986.151267,0.000000,88
699743.497056,9312991.250077,0.000000,88
699740.521639,9312984.520910,0.000000,88
699729.303990,9312988.047304,0.000000,88
699744.954389,9312987.906410,0.000000,88
699759.223222,9313070.008410,0.000000,83
699770.532109,9313068.105610,0.000000,12030
699768.756258,9313059.701438,0.000000,83
699765.261966,9313068.512256,0.000000,83
699758.716722,9313070.688410,0.000000,83
699434.121463,9313039.419429,0.000000,64
699425.731675,9313046.174124,0.000000,64
699420.317389,9313064.998410,0.000000,64
699422.609889,9313050.432577,0.000000,64
699417.595722,9313062.238410,0.000000,64
699417.717389,9313055.491267,0.000000,64
699416.941934,9313067.472955,0.000000,64
699422.277389,9313071.058410,0.000000,64
699407.472945,9313058.513966,0.000000,65
699405.612945,9313052.939521,0.000000,65
699439.597389,9313089.901743,0.000000,68
699457.455722,9313103.436743,0.000000,71
699452.469056,9312993.170077,0.000000,63
699452.949056,9312991.281743,0.000000,63
699451.463389,9312995.618410,0.000000,63
699406.714389,9312928.204610,0.000000,74
699402.363433,9312914.504537,0.000000,74
699401.504056,9312914.261810,0.000000,74
699402.374889,9312914.509410,0.000000,74
699403.238589,9312909.792850,0.000000,74
699403.559122,9312913.098700,0.000000,74
699402.311241,9312914.531238,0.000000,74
699413.597389,9312908.260839,0.000000,74
699402.113389,9312895.979410,0.000000,74
699410.546139,9312901.326410,0.000000,74
699409.320722,9312881.575243,0.000000,76
