X,Y,Z
700598.794471,9311725.924577,0.000000,1554
700693.805164,9311745.478660,0.000000,1555
700778.729056,9311680.558743,0.000000,1556
700621.689496,9311947.237277,0.000000,1557
700641.193796,9311923.990093,0.000000,1558
700538.535706,9311927.318610,0.000000,1559
700559.727622,9311963.022257,0.000000,1560
700543.136719,9311973.863853,0.000000,1561
700521.880472,9311963.276387,0.000000,1562
700528.123056,9311953.044907,0.000000,1563
700476.361389,9311914.893667,0.000000,1564
700533.627464,9311887.642680,0.000000,1698
700550.015539,9311783.515743,0.000000,1566
700474.582889,9311749.277910,0.000000,1567
700517.820989,9311781.475410,0.000000,1568
700496.856246,9311738.638553,0.000000,1569
700444.879246,9311713.258981,0.000000,1570
700479.615722,9311712.406910,0.000000,1571
700520.111627,9311758.616910,0.000000,1572
700510.072889,9311753.738910,0.000000,1573
700503.628056,9311749.648577,0.000000,1574
700535.840272,9311756.804077,0.000000,1575
700721.744772,9311666.111410,0.000000,1580
700808.725056,9311691.916077,0.000000,1581
700810.501889,9311684.868410,0.000000,1582
700769.971889,9311726.004077,0.000000,1583
700693.647206,9311693.156910,0.000000,1584
700719.352856,9311710.456410,0.000000,1585
700554.478056,9311669.561577,0.000000,0
700543.640146,9311645.378124,0.000000,1587
700520.643118,9311615.041410,0.000000,1588
700647.750006,9311721.945410,0.000000,1589
700653.571506,9311711.745077,0.000000,1590
700665.554556,9311685.208577,0.000000,1591
700538.152989,9311587.905743,0.000000,1592
700675.466639,9311693.973243,0.000000,1593
700683.000506,9311686.310410,0.000000,1594
700766.479556,9311635.266577,0.000000,1595
700748.512327,9311576.332848,0.000000,1596
700806.521722,9311587.332243,0.000000,1723
700751.559222,9311548.016243,0.000000,1723
700668.698606,9311605.152077,0.000000,1597
700706.988202,9311703.124910,0.000000,1598
700704.081706,9311749.743077,0.000000,0
700751.700056,9311742.230910,0.000000,1600
700721.975606,9311736.044243,0.000000,1601
700710.046656,9311785.391410,0.000000,1602
700706.254056,9311793.997743,0.000000,1603
700731.460889,9311803.474077,0.000000,1604
700735.794722,9311800.364910,0.000000,1605
700733.531889,9311798.972577,0.000000,1606
700736.111889,9311779.882743,0.000000,1607
700445.836556,9311895.713710,0.000000,1608
700455.085222,9311909.963643,0.000000,1609
700462.095333,9311944.214849,0.000000,1610
700560.070639,9312002.328210,0.000000,1611
700579.877006,9311974.215290,0.000000,1612
700551.894056,9311914.235193,0.000000,1613
700588.529289,9311915.858443,0.000000,1614
700558.958311,9311926.739510,0.000000,1615
700465.706056,9311637.019743,0.000000,1616
700529.556056,9311658.507077,0.000000,0
700516.569139,9311664.884660,0.000000,1618
700472.723722,9311621.965077,0.000000,1619
700496.063556,9311591.108910,0.000000,1620
700583.744189,9311670.600410,0.000000,1621
700877.113389,9311591.473910,0.000000,1622
700870.439889,9311595.687577,0.000000,1623
700512.707889,9311865.746310,0.000000,1637
700494.994556,9311895.326377,0.000000,1638
700588.229131,9311870.370952,0.000000,0
700615.996042,9311824.500410,0.000000,1640
700604.773956,9311827.718910,0.000000,1641
700603.426306,9311835.378577,0.000000,1642
700601.265439,9311844.846077,0.000000,1643
700589.415022,9311834.105077,0.000000,1644
700435.065789,9311766.527210,0.000000,1645
700500.823389,9311808.510243,0.000000,1646
700523.446639,9311821.285160,0.000000,1647
700418.565056,9311728.153410,0.000000,1648
700430.419722,9311633.674077,0.000000,1649
700435.972389,9311650.073077,0.000000,0
700444.757389,9311639.098981,0.000000,1651
700481.053222,9311582.785410,0.000000,1652
700417.817722,9311758.779910,0.000000,1653
700414.738389,9311714.938743,0.000000,1655
700443.988389,9311794.278577,0.000000,1656
700704.458189,9311616.133910,0.000000,1664
700610.070466,9311767.619577,0.000000,1665
700550.853956,9311803.146077,0.000000,1666
700665.038914,9311896.152322,0.000000,1680
700669.776502,9311890.234010,0.000000,1681
700678.322477,9311894.975660,0.000000,1682
700679.364222,9311900.552593,0.000000,1683
700658.752489,9311814.893410,0.000000,1684
700726.575439,9311776.030910,0.000000,1685
700548.590722,9311760.492743,0.000000,1686
700533.112356,9311627.595577,0.000000,1687
700449.446556,9311774.198577,0.000000,1645
700437.537889,9311763.124077,0.000000,1645
700565.231132,9311750.113267,0.000000,1699
700538.080389,9311737.099010,0.000000,1699
700513.012939,9311707.913743,0.000000,1699
700585.216106,9311781.704243,0.000000,1686
700563.364389,9311766.544743,0.000000,1686
700559.139222,9311774.094577,0.000000,1686
700549.367268,9311781.968410,0.000000,1566
700508.766431,9311753.301160,0.000000,1573
700477.663389,9311737.162285,0.000000,1569
700493.487246,9311743.652839,0.000000,1569
700486.079389,9311748.014743,0.000000,1569
700523.892064,9311824.602660,0.000000,1647
700520.497289,9311816.490243,0.000000,1647
700482.244847,9311796.794868,0.000000,1646
700471.316389,9311788.758577,0.000000,1646
700482.241889,9311795.287410,0.000000,1646
700482.442532,9311796.218124,0.000000,1646
700469.603722,9311811.487577,0.000000,1656
700453.277389,9311800.759743,0.000000,1656
700456.284056,9311719.229243,0.000000,1570
700505.056389,9311750.345077,0.000000,1574
700510.607743,9311708.084948,0.000000,1699
700577.636397,9311763.034256,0.000000,1699
700568.691806,9311821.194577,0.000000,1665
700607.039514,9311765.440010,0.000000,1665
700590.775486,9311797.861981,0.000000,1665
700571.668229,9311823.306410,0.000000,1665
700583.258039,9311790.526243,0.000000,1665
700585.221206,9311816.924410,0.000000,1665
700608.373775,9311781.349839,0.000000,1665
700598.089710,9311803.403410,0.000000,1665
700609.274696,9311778.240410,0.000000,1665
700540.176344,9311876.033554,0.000000,1698
700515.772864,9311932.379660,0.000000,1565
700500.168722,9311925.205943,0.000000,1564
700487.658389,9311919.091834,0.000000,1564
700496.840500,9311900.958077,0.000000,1638
700493.010389,9311902.554093,0.000000,1638
700502.993389,9311912.107093,0.000000,0
700582.922722,9311903.327510,0.000000,1614
700566.379289,9311901.329610,0.000000,1614
700569.309368,9311907.339267,0.000000,1614
700582.714775,9311942.760796,0.000000,1615
700576.478439,9311932.871860,0.000000,1615
700585.511019,9311937.614460,0.000000,1615
700588.794132,9311927.162524,0.000000,1615
700591.206006,9311931.030810,0.000000,1615
700567.963242,9311923.282863,0.000000,1615
700566.252819,9311915.512060,0.000000,1615
700561.781200,9311921.250221,0.000000,1615
700582.584589,9311975.889375,0.000000,1612
700585.200822,9311977.507443,0.000000,1612
700586.982889,9311978.609320,0.000000,1612
700444.121589,9311696.363810,0.000000,1648
700485.609278,9311704.179410,0.000000,0
700451.625889,9311679.624077,0.000000,1648
700526.228714,9311745.197702,0.000000,1575
700450.908722,9311887.774460,0.000000,1608
700453.740722,9311883.342177,0.000000,1608
700442.957056,9311887.536127,0.000000,1608
700517.450222,9311888.415827,0.000000,1698
700585.188789,9311901.523393,0.000000,1614
700557.784056,9311892.602060,0.000000,1698
700634.953145,9311674.428077,0.000000,1554
700647.923656,9311672.861577,0.000000,1554
700624.815918,9311662.177785,0.000000,1554
700609.313451,9311707.785392,0.000000,1554
700646.640928,9311674.050249,0.000000,1554
700623.986989,9311692.718827,0.000000,1554
700589.156222,9311622.850910,0.000000,1592
700633.085422,9311652.949577,0.000000,1592
700652.303789,9311666.117243,0.000000,0
700714.298306,9311707.474243,0.000000,0
700716.185764,9311746.568660,0.000000,1600
700722.690856,9311739.744243,0.000000,1601
700714.312399,9311731.700810,0.000000,1601
700734.880558,9311741.786632,0.000000,1601
700708.982639,9311727.395577,0.000000,0
700711.395764,9311724.086035,0.000000,1600
700706.396172,9311732.390243,0.000000,0
700686.682439,9311726.194577,0.000000,1555
700667.080039,9311719.360410,0.000000,1555
700575.312189,9311662.654577,0.000000,0
700588.546222,9311639.163743,0.000000,1586
700568.509839,9311649.046243,0.000000,1586
700554.477856,9311657.241577,0.000000,1586
700552.838122,9311668.579410,0.000000,0
700551.039064,9311666.766785,0.000000,0
700572.742706,9311627.746410,0.000000,1586
700565.549106,9311639.900743,0.000000,1586
700567.475272,9311636.884077,0.000000,1586
700569.542489,9311632.427660,0.000000,1586
700561.248039,9311646.638077,0.000000,1586
700546.834089,9311631.844696,0.000000,1587
700537.352422,9311634.555243,0.000000,1587
700548.439122,9311616.253521,0.000000,1587
700538.436164,9311633.215035,0.000000,1587
700542.559151,9311626.215910,0.000000,1587
700545.749862,9311619.685046,0.000000,1587
700535.667656,9311615.692743,0.000000,1588
700513.790722,9311640.961966,0.000000,1588
700503.438139,9311630.570410,0.000000,0
700509.378056,9311618.048577,0.000000,0
700503.472889,9311621.643410,0.000000,0
700498.671556,9311628.938910,0.000000,0
700501.692722,9311624.348410,0.000000,0
700504.130556,9311620.644077,0.000000,0
700497.301889,9311602.713743,0.000000,1620
700505.300722,9311614.110410,0.000000,1620
700485.004222,9311608.191077,0.000000,1620
700495.085278,9311596.369966,0.000000,1620
700497.307764,9311627.528285,0.000000,1620
700504.893489,9311614.009510,0.000000,1620
700495.893889,9311625.412577,0.000000,1620
700489.887972,9311625.893910,0.000000,1620
700499.390722,9311625.082910,0.000000,1620
700505.777207,9311662.371501,0.000000,0
700480.280126,9311648.402568,0.000000,1616
700467.819818,9311627.144696,0.000000,1616
700473.948556,9311642.371910,0.000000,1616
700502.099532,9311667.335410,0.000000,0
700511.883389,9311658.380785,0.000000,0
700508.272960,9311659.583267,0.000000,0
700492.839722,9311654.830743,0.000000,1616
700470.698448,9311639.355449,0.000000,1616
700497.711408,9311656.196762,0.000000,1616
700481.735222,9311628.010910,0.000000,1619
700493.861556,9311636.146577,0.000000,1619
700478.205389,9311625.642743,0.000000,1619
700695.660239,9311709.977243,0.000000,1555
700707.978809,9311716.272910,0.000000,0
700697.576039,9311745.565910,0.000000,0
700724.225050,9311764.241673,0.000000,1599
700703.904546,9311736.460553,0.000000,0
700744.904389,9311737.161839,0.000000,1600
700742.574556,9311735.484577,0.000000,1600
700758.621889,9311746.759577,0.000000,1600
700725.145053,9311724.769196,0.000000,1600
700739.211889,9311733.217743,0.000000,1600
700734.220757,9311727.384726,0.000000,1600
700732.824056,9311730.586743,0.000000,1600
700684.948364,9311725.321273,0.000000,1555
700674.846039,9311743.031767,0.000000,1555
700673.361156,9311741.258910,0.000000,1555
700704.082319,9311731.896410,0.000000,1555
700676.078860,9311741.510124,0.000000,1555
700661.613789,9311730.010785,0.000000,1555
700747.556222,9311756.088577,0.000000,1601
700514.091889,9311868.387260,0.000000,1637
700456.720056,9311907.663493,0.000000,1609
700461.194722,9311932.942460,0.000000,1610
700465.295556,9311954.974813,0.000000,1610
700467.322532,9311955.442871,0.000000,1610
700578.703672,9311953.656917,0.000000,1559
700571.327903,9311949.796170,0.000000,1559
700562.983922,9311940.361127,0.000000,1559
700547.592875,9311934.174581,0.000000,1559
700545.576272,9311940.493060,0.000000,1559
700566.737656,9311954.507977,0.000000,1559
700749.146889,9311777.317743,0.000000,1599
700724.540389,9311771.766124,0.000000,1685
700725.525389,9311769.643410,0.000000,1685
700724.713222,9311770.870743,0.000000,1685
700738.076556,9311778.657577,0.000000,1607
700736.912389,9311784.452285,0.000000,1607
700730.070306,9311802.563868,0.000000,1604
700512.653056,9311614.578743,0.000000,1588
700509.815389,9311612.243553,0.000000,0
700520.162022,9311603.673077,0.000000,1588
700515.796014,9311608.851285,0.000000,1588
700511.651139,9311609.785160,0.000000,1588
700512.024389,9311604.466285,0.000000,0
700520.885556,9311643.322410,0.000000,1588
700519.908789,9311644.853577,0.000000,1588
700521.416439,9311642.490910,0.000000,1588
700522.502069,9311655.097310,0.000000,1617
700524.238714,9311655.454660,0.000000,1617
700716.584456,9311650.180077,0.000000,0
700736.011907,9311663.032683,0.000000,1580
700760.731556,9311685.647243,0.000000,1580
700782.621122,9311602.133077,0.000000,1725
700778.792889,9311627.584910,0.000000,1595
700721.680468,9311601.156339,0.000000,1595
700774.916722,9311644.121243,0.000000,1595
700749.246689,9311531.655910,0.000000,1723
700812.038056,9311592.108910,0.000000,1723
700818.029056,9311580.872077,0.000000,1723
700816.290960,9311594.404124,0.000000,1723
700794.502389,9311610.842410,0.000000,1725
700803.674222,9311617.806910,0.000000,1725
700803.635870,9311615.224447,0.000000,1725
700825.623389,9311589.957743,0.000000,1723
700817.742833,9311579.880410,0.000000,1723
700822.484253,9311583.535622,0.000000,1723
700739.432264,9311565.509160,0.000000,1596
700747.043675,9311551.900410,0.000000,1596
700722.273326,9311557.172936,0.000000,1596
700725.411372,9311586.249577,0.000000,1596
700730.478889,9311578.951743,0.000000,1596
700753.908611,9311576.908243,0.000000,1596
700746.046056,9311578.534577,0.000000,1596
700727.391206,9311560.406743,0.000000,1596
700725.025170,9311562.620347,0.000000,1596
700707.921089,9311611.829410,0.000000,1664
700705.694156,9311614.458743,0.000000,1664
700786.327089,9311644.202010,0.000000,1595
700775.830904,9311643.177531,0.000000,1595
700787.688556,9311645.692577,0.000000,1595
700784.933889,9311646.946410,0.000000,1595
700775.985111,9311646.461632,0.000000,1595
700786.182556,9311568.630577,0.000000,1723
700784.861556,9311544.533077,0.000000,1723
700798.605556,9311565.278077,0.000000,1723
700750.996889,9311541.175577,0.000000,1723
700797.126603,9311567.550862,0.000000,1723
700757.386472,9311542.140660,0.000000,1723
700744.281556,9311558.391743,0.000000,1596
700737.149722,9311557.124243,0.000000,1596
700747.990556,9311564.734577,0.000000,1596
700740.998222,9311559.825910,0.000000,1596
700729.565489,9311582.386839,0.000000,1596
700769.142389,9311525.155743,0.000000,1724
700768.990889,9311623.111660,0.000000,1595
