X,Y,Z
-364.713533,470.194294,0.000000
-238.121983,360.582003,0.000000
-258.961745,330.811155,0.000000
-240.609790,237.816642,0.000000
-185.285074,329.530548,0.000000
-155.893257,339.048938,0.000000
-115.086210,307.455821,0.000000
-94.022873,80.787488,0.000000
-124.153767,71.340963,0.000000
-192.107720,135.411202,0.000000
-187.922345,125.687806,0.000000
-220.239473,333.192998,0.000000
-343.876519,181.153081,0.000000
-592.775444,317.340081,0.000000
-582.853654,447.447767,0.000000
-679.882961,382.867971,0.000000
-675.604117,326.936632,0.000000
-528.275458,233.092952,0.000000
-673.155638,442.039221,0.000000
-123.972598,406.295782,0.000000
-143.480310,449.877752,0.000000
-228.659301,485.154844,0.000000
-239.486224,417.739260,0.000000
-178.114958,420.081102,0.000000
-733.646355,48.359461,0.000000
-740.361706,44.089706,0.000000
-747.248198,39.692242,0.000000
-762.421480,49.703824,0.000000
-884.672738,721.549256,0.000000
-856.036295,721.836645,0.000000
-847.841461,718.664330,0.000000
-839.927900,722.202840,0.000000
-823.733207,736.867753,0.000000
-769.182811,733.964288,0.000000
-778.676492,730.153549,0.000000
-726.257745,692.463736,0.000000
-726.257340,678.816218,0.000000
-641.481734,755.068709,0.000000
-516.151531,792.441103,0.000000
-814.359639,618.908208,0.000000
-729.978616,617.529786,0.000000
-239.272849,511.932275,0.000000
-235.949818,494.184315,0.000000
-591.522704,3.118588,0.000000
-597.666071,2.547185,0.000000
0.000000,0.000000,0.000000
-614.770386,979.596210,0.000000
-609.034692,975.317200,0.000000
-603.611579,971.669421,0.000000
-688.294306,980.067504,0.000000
-767.501757,905.984876,0.000000
-754.496198,922.259592,0.000000
-700.843888,921.561123,0.000000
-721.826170,916.593639,0.000000
-730.105378,910.868615,0.000000
-714.984323,919.028322,0.000000
-697.004425,944.198571,0.000000
-701.786153,957.872385,0.000000
-615.240640,917.219141,0.000000
-577.112962,881.856138,0.000000
-914.456817,790.058251,0.000000
-927.395358,825.965382,0.000000
-916.968539,874.289600,0.000000
-921.643904,897.961426,0.000000
-942.897067,938.435703,0.000000
-961.606995,949.363214,0.000000
-957.161396,964.452984,0.000000
-938.440730,972.827538,0.000000
-929.495848,985.417766,0.000000
-922.169482,991.649713,0.000000
-918.400566,995.757760,0.000000
-915.440697,997.318944,0.000000
-978.846196,937.746079,0.000000
-975.370271,843.767299,0.000000
-965.316894,808.046875,0.000000
-961.170997,835.920920,0.000000
-958.390090,782.521749,0.000000
-984.117883,772.076636,0.000000
-359.773690,971.619035,0.000000
-932.602710,199.539508,0.000000
-397.207202,661.571509,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-601.933103,957.269156,0.000000
-770.209245,707.523630,0.000000
-177.828931,205.394643,0.000000
-197.151691,102.296473,0.000000
-207.302720,119.345946,0.000000
-736.356502,862.768576,0.000000
-188.299902,823.240475,0.000000
-186.134658,789.822594,0.000000
-234.387809,778.584409,0.000000
-200.232926,746.496260,0.000000
-204.995196,765.589113,0.000000
-187.243032,727.107846,0.000000
