X,Y,Z
-372.405333,431.294333,0.000000
-238.992667,340.961667,0.000000
-230.688000,378.674000,0.000000
-239.318857,357.805343,0.000000
-262.181000,335.065000,0.000000
-511.489333,749.543167,0.000000
-510.556000,702.401167,0.000000
-426.136500,594.867333,0.000000
-374.831667,694.352500,0.000000
-517.953500,568.637667,0.000000
-387.135000,693.182000,0.000000
-469.201800,737.673200,0.000000
-430.765000,757.819000,0.000000
-468.868750,695.799250,0.000000
-275.101600,627.844300,0.000000
-416.351243,667.639135,0.000000
-336.793500,550.258667,0.000000
-513.093250,547.681500,0.000000
-521.561000,539.624000,0.000000
-515.885000,547.712833,0.000000
-309.412632,607.489789,0.000000
-336.367000,556.416000,0.000000
-317.001111,604.488111,0.000000
-301.460270,581.848703,0.000000
-275.754000,596.698000,0.000000
-299.892614,584.173182,0.000000
-380.230786,714.121036,0.000000
-384.094821,545.417857,0.000000
-292.671833,550.285500,0.000000
-493.697300,595.546000,0.000000
-471.184000,632.546000,0.000000
-486.367667,595.464167,0.000000
-387.562409,606.629568,0.000000
-405.540167,543.269833,0.000000
-515.482400,728.567200,0.000000
-353.202591,544.502000,0.000000
-393.748444,754.508889,0.000000
-517.134667,637.854500,0.000000
-516.024000,682.165400,0.000000
-399.834289,683.630105,0.000000
-382.137333,550.759500,0.000000
-336.050600,597.779100,0.000000
-379.038532,609.339387,0.000000
-319.674833,650.765833,0.000000
-360.429000,542.763667,0.000000
-300.460484,593.886355,0.000000
-400.727167,537.718167,0.000000
-282.687667,584.103333,0.000000
-506.162900,536.374300,0.000000
-514.630000,556.708167,0.000000
-383.172500,723.447250,0.000000
-348.506946,668.475391,0.000000
-336.125875,532.505250,0.000000
-405.942011,540.670928,0.000000
-333.496167,536.972333,0.000000
-517.544667,598.599167,0.000000
-425.741000,702.702929,0.000000
-516.760000,711.757667,0.000000
-516.060750,652.346250,0.000000
-503.204000,643.517000,0.000000
-511.796429,648.587571,0.000000
-470.480833,653.830167,0.000000
-514.720167,711.143500,0.000000
-439.186294,655.137588,0.000000
-403.949579,544.267316,0.000000
-475.614667,538.590833,0.000000
-436.517300,537.071100,0.000000
-321.991333,549.984333,0.000000
-438.190750,539.637500,0.000000
-443.677000,548.237000,0.000000
-438.127875,543.012375,0.000000
-363.182167,537.228667,0.000000
-442.646423,648.279731,0.000000
-380.055111,687.822778,0.000000
